Date,Open,High,Low,Close,Adj Close,Volume
9/8/2022,19043.83984,19075.74023,18803.75977,18854.61914,18854.61914,1718131700
9/9/2022,18893.65039,19417.56055,18893.65039,19362.25,19362.25,1994834000
9/13/2022,19404.64063,19492.06055,19296.25,19326.85938,19326.85938,1787223000
9/14/2022,18933.30078,18989.2207,18797.78906,18847.09961,18847.09961,1731976600
9/15/2022,18833.90039,19013.0293,18833.90039,18930.38086,18930.38086,1797327700
9/16/2022,18732.43945,18905.2793,18678.2207,18761.68945,18761.68945,2793919500
9/19/2022,18695.34961,18697.08984,18494.53906,18565.9707,18565.9707,1745749500
9/20/2022,18700.67969,18861.4707,18685.46094,18781.41992,18781.41992,1478169400
9/21/2022,18638.84961,18638.84961,18434.65039,18444.61914,18444.61914,1629375400
9/22/2022,18080.92969,18195.08984,17965.33008,18147.94922,18147.94922,1729134100
9/23/2022,18055.58984,18165.94922,17926.28906,17933.26953,17933.26953,1776795400
9/26/2022,17781.86914,18077.64063,17727.40039,17855.14063,17855.14063,2557096600
9/27/2022,17838.65039,17904.21094,17648.41992,17860.31055,17860.31055,1900500000
9/28/2022,17703.39063,17703.39063,17184.53906,17250.88086,17250.88086,2948457300
9/29/2022,17570.16992,17629.66992,17046.83008,17165.86914,17165.86914,2534665600
9/30/2022,17165.92969,17344.81055,17016.2793,17222.83008,17222.83008,2113942500
10/3/2022,17050.25,17252.10938,16906.96094,17079.50977,17079.50977,1361001600
10/5/2022,17811.9707,18164.19922,17682.84961,18087.9707,18087.9707,2256107700
10/6/2022,18100.48047,18143.84961,17958.14063,18012.15039,18012.15039,1082368000
10/7/2022,17851.61914,17881.86914,17717.73047,17740.05078,17740.05078,1129251000
10/10/2022,17449.35938,17449.35938,17174.60938,17216.66016,17216.66016,1771824300
10/11/2022,17194.73047,17206.50977,16789.9707,16832.35938,16832.35938,1797693500
10/12/2022,16758.26953,17040.69922,16438.59961,16701.0293,16701.0293,2407431400
10/13/2022,16700.65039,16736.58984,16389.10938,16389.10938,16389.10938,2241934000
10/14/2022,16671.67969,17028.67969,16535.36914,16587.68945,16587.68945,2322665100
10/17/2022,16479.74023,16754.51953,16308.9502,16612.90039,16612.90039,2061247900
10/18/2022,16860.19922,16914.58008,16558.41016,16914.58008,16914.58008,1971282000
10/19/2022,16805.91016,16923.11914,16508.36914,16511.2793,16511.2793,1713974900
10/20/2022,16230.79004,16452.9707,16010.71973,16280.21973,16280.21973,2295268600
